"Tables Départements et académies","Tables Effectifs scolarisés (1)","Tables Évolution 2016/2015 (%)","Tables Effectifs d’habitants","Tables Taux de scolari- sation (%)","title","doc_id","type","uploaded_from","doc_meta_data","folder_name","folder_id","created_at_iso","modified_at_iso","status","review_url","user_doc_id"
"Amiens","433 586","0,1","1 936 488","22,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Nord","684 653","1,1","2 618 204","26,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Pas-de-Calais","331 540","-0,1","1 477 147","22,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Lille","1 016 193","0,7","4 095 351","24,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Hauts-de-France","1 449 779","0,5","6 031 839","24,0","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Seine-et-Marne","332 994","0,9","1 414 884","23,5","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Seine-Saint-Denis","401 224","1,7","1 634 151","24,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Val-de-Marne","318 773","1,7","1 395 666","22,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Créteil","1 052 991","1,5","4 444 701","23,7","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Paris","653 660","0,0","2 195 745","29,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Yvelines","348 724","1,5","1 437 723","24,3","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Essonne","314 998","1,6","1 305 362","24,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Hauts-de-Seine","378 114","0,1","1 615 641","23,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Val-d’Oise","306 622","1,6","1 238 204","24,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Versailles","1 348 458","1,2","5 596 930","24,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Île-de-France","3 055 109","1,0","12 237 376","25,0","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Calvados","163 531","0,6","696 573","23,5","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Manche","94 457","-0,7","498 340","19,0","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Orne","55 067","-0,8","284 458","19,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Caen","313 055","-0,1","1 479 371","21,2","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Eure","125 605","-0,1","608 804","20,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Seine-Maritime","301 476","0,2","1 260 200","23,9","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Rouen","427 081","0,1","1 869 004","22,9","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Normandie","740 136","0,1","3 348 375","22,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Dordogne","68 045","-0,8","413 968","16,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Gironde","375 920","1,7","1 592 986","23,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Landes","71 772","0,1","409 554","17,5","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Lot-et-Garonne","62 018","0,0","333 897","18,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Pyrénées-Atlantiques","136 078","0,9","675 368","20,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Bordeaux","713 833","1,0","3 425 773","20,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Corrèze","43 170","-0,6","242 132","17,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Creuse","17 652","-1,0","119 170","14,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Haute-Vienne","79 061","0,8","375 249","21,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Limoges","139 883","0,1","736 551","19,0","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Charente","63 905","-0,9","352 993","18,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Charente-Maritime","122 242","0,0","646 653","18,9","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Deux-Sèvres","72 469","-0,1","375 823","19,3","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Vienne","108 009","1,3","437 638","24,7","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Poitiers","366 625","0,2","1 813 107","20,2","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Nouvelle-Aquitaine","1 220 341","0,7","5 975 431","20,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Aude","68 168","0,5","369 937","18,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Gard","153 609","0,4","746 819","20,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Hérault","281 764","0,9","1 149 887","24,5","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Lozère","15 701","-0,3","75 820","20,7","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Pyrénées-Orientales","93 986","0,9","479 618","19,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Montpellier","613 228","0,7","2 822 081","21,7","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Ariège","26 591","0,1","152 564","17,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Aveyron","49 803","0,4","280 591","17,7","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Haute-Garonne","348 057","1,9","1 373 204","25,3","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Gers","33 408","-0,6","191 496","17,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Lot","28 226","-0,2","172 061","16,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Hautes-Pyrénées","44 232","0,1","228 355","19,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Tarn","76 698","0,0","391 122","19,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Tarn-et-Garonne","52 016","0,2","260 372","20,0","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Toulouse","659 031","1,0","3 049 765","21,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Occitanie","1 272 259","0,8","5 871 846","21,7","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Loire-Atlantique","340 936","1,9","1 398 411","24,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Maine-et-Loire","203 756","0,6","820 010","24,8","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Mayenne","67 178","0,6","307 153","21,9","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Sarthe","125 332","0,1","568 534","22,0","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Vendée","136 723","0,3","676 734","20,2","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Nantes","873 925","1,0","3 770 842","23,2","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Pays de la Loire","873 925","1,0","3 770 842","23,2","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Alpes-de-Haute-Provence","29 747","0,0","162 177","18,3","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Hautes-Alpes","25 551","0,0","141 337","18,1","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Bouches-du-Rhône","477 709","0,9","2 043 496","23,4","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Vaucluse","123 882","0,3","565 620","21,9","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Aix-Marseille","656 889","0,7","2 912 630","22,6","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
"Alpes-Maritimes","237 470","0,9","1 085 034","21,9","depp-2018-RERS-web_1075287-19.pdf","26713a7227e5443d9c7cfdf95ec3ecc1","table_vision","api","","","","2025-03-06T10:49:03+00:00","2025-03-06T10:49:31+00:00","reviewing","https://app.docsumo.com/review-document/26713a7227e5443d9c7cfdf95ec3ecc1",""
