Departement,Effectifs scolarisés,Effectifs habitants,Taux de scolarisation
Seine-et-Marne,332 994,1 414 884,"23,5"
Seine-Saint-Denis,401 224,1 634 151,"24,6"
Val-de-Marne,318 773,1 395 666,"22,8"
Yvelines,348 724,1 437 723,"24,3"
Essonne,314 998,1 305 362,"24,1"
Hauts-de-Seine,378 114,1 615 641,"23,4"
Calvados,163 531,696 573,"23,5"
Manche,94 457,498 340,"19,0"
Orne,55 067,284 458,"19,4"
Eure,125 605,608 804,"20,6"
Seine-Maritime,301 476,1 260 200,"23,9"
Dordogne,68 045,413 968,"16,4"
Gironde,375 920,1 592 986,"23,6"
Landes,71 772,409 554,"17,5"
Lot-et-Garonne,62 018,333 897,"18,6"
Pyrénées-Atlantiques,136 078,675 368,"20,1"
Corrèze,43 170,242 132,"17,8"
Creuse,17 652,119 170,"14,8"
Haute-Vienne,79 061,375 249,"21,1"
Charente,63 905,352 993,"18,1"
Charente-Maritime,122 242,646 653,"18,9"
Deux-Sèvres,72 469,375 823,"19,3"
Vienne,108 009,437 638,"24,7"
Aude,68 168,369 937,"18,4"
Gard,153 609,746 819,"20,6"
Hérault,281 764,1 149 887,"24,5"
Lozère,15 701,75 820,"20,7"
Pyrénées-Orientales,93 986,479 618,"19,6"
Ariège,26 591,152 564,"17,4"
Aveyron,49 803,280 591,"17,7"
Haute-Garonne,348 057,1 373 204,"25,3"
Gers,33 408,191 496,"17,4"
Lot,28 226,172 061,"16,4"
Hautes-Pyrénées,44 232,228 355,"19,4"
Tarn,76 698,391 122,"19,6"
Tarn-et-Garonne,52 016,260 372,"20,0"
Loire-Atlantique,340 936,1 398 411,"24,4"
Maine-et-Loire,203 756,820 010,"24,8"
Mayenne,67 178,307 153,"21,9"
Sarthe,125 332,568 534,"22,0"
Vendée,136 723,676 734,"20,2"
Alpes-de-Haute-Provence,29 747,162 177,"18,3"
Hautes-Alpes,25 551,141 337,"18,1"
Bouches-du-Rhône,477 709,2 043 496,"23,4"
Vaucluse,123 882,565 620,"21,9"
Alpes-Maritimes,237 470,1 085 034,"21,9"
Var,196 959,1 066 725,"18,5"
Guadeloupe,110 630,441 720,"25,0"
Guyane,83 856,275 601,"30,4"
Martinique,85 397,375 225,"22,8"
La Réunion,246 482,864 137,"28,5"
Allier,59 886,340 256,"17,6"
Cantal,23 837,145 177,"16,4"
Haute-Loire,44 703,227 612,"19,6"
Puy-de-Dôme,147 456,653 312,"22,6"
Ardèche,62 113,327 310,"19,0"
Drôme,107 182,513 733,"20,9"
Isère,313 748,1 267 682,"24,7"
Savoie,90 235,433 200,"20,8"
Haute-Savoie,167 252,818 555,"20,4"
Ain,131 560,643 616,"20,4"
Loire,175 958,763 493,"23,0"
Rhône,515 416,1 865 779,"27,6"
Doubs,130 616,540 839,"24,2"
Jura,51 228,259 854,"19,7"
Haute-Saône,44 897,235 681,"19,0"
Territoire de Belfort,33 002,144 431,"22,8"
Nièvre,36 590,208 511,"17,5"
Saône-et-Loire,101 953,554 662,"18,4"
Yonne,63 919,339 817,"18,8"
Finistère,195 383,910 596,"21,5"
Ille-et-Vilaine,283 588,1 064 948,"26,6"
Morbihan,155 294,751 592,"20,7"
Cher,54 858,306 557,"17,9"
Eure-et-Loir,90 387,435 008,"20,8"
Indre,38 373,220 940,"17,4"
Indre-et-Loire,141 450,610 166,"23,2"
Loir-et-Cher,63 933,333 468,"19,2"
Loiret,157 592,680 754,"23,1"
Corse-du-Sud,23 875,157 394,"15,2"
Haute-Corse,30 904,176 865,"17,5"
Meurthe-et-Moselle,183 762,734 608,"25,0"
Meuse,34 823,188 485,"18,5"
Moselle,211 663,1 041 620,"20,3"
Vosges,71 578,367 640,"19,5"
Ardennes,53 585,273 948,"19,6"
Aube,66 793,311 108,"21,5"
Marne,138 588,574 194,"24,1"
Haute-Marne,31 978,176 796,"18,1"
Bas-Rhin,266 102,1 125 161,"23,7"
Haut-Rhin,153 831,767 179,"20,1"
Aisne,112 808,536 017,"21,0"
Oise,182 172,828 656,"22,0"
Somme,138 606,571 815,"24,2"
Nord,684 653,2 618 204,"26,1"
Pas-de-Calais,331 540,1 477 147,"22,4"